returns,volatilities,L(t)
-13,13,1.0
24,24,-0.1978174049089308
-31,31,-0.7527364116696471
-60,60,-0.72837960588682
-4,4,-0.7605154400818372
10,10,-0.2195943447476689
49,49,-0.1872852947782179
-11,11,-0.2791887547470073
-43,43,-0.3033329218962248
19,19,-0.330399458753754
11,11,-0.3320000348213562
22,22,-0.1613504288292993
45,45,-0.21855966394327428
-40,40,-0.20249757600488905
-2,2,-0.09546886737162098
44,44,-0.10517831047492503
8,8,-0.04063609543230122
41,41,-0.031213325839488007
30,30,-0.03160185560058704
6,6,-0.03768851775471599
-28,28,-0.04564581888159995
10,10,-0.036362348040917244
29,29,-0.03259983723456915
27,27,-0.011957488587845353
-7,7,-0.017203671830707673
10,10,-0.05144792207082639
-35,35,-0.04048149905084005
-1,1,-0.029716218681354434
-17,17,-0.07898598231521624
-40,40,0.0999190712196202
67,67,0.11974514663242347
37,37,0.1255216607388541
-2,2,0.13277459466884717
-4,4,0.1422606261948542
-12,12,0.16584354567588097
39,39,0.16292076922234267
22,22,0.17215476872839777
-9,9,0.18069596674883048
-9,9,0.2421360841964466
55,55,0.24006655128551022
4,4,0.2352380636502954
13,13,0.18219480018250522
-43,43,0.18501316754288993
-20,20,0.1847822445763846
1,1,0.1896477952798595
-5,5,0.20660006874949197
38,38,0.2128272867029521
-9,9,0.10826878130647866
-59,59,0.104363235238274
17,17,0.08805516954520534
-34,34,0.09320555440895142
-7,7,0.0897934096978934
-26,26,0.09132776084138838
26,26,0.10039870686899564
33,33,0.10279954813965002
-2,2,0.10151390158099464
3,3,0.09778732271789757
10,10,0.10130002735001695
-4,4,0.10345613771163309
26,26,0.10844358175642792
-11,11,0.10999086816727559
-1,1,0.1114679181039589
-1,1,0.10836187100992628
14,14,0.1088547005144306
23,23,0.10872498081000675
22,22,0.11321962384507343
-8,8,0.13229219723607152
40,40,0.13631463443148187
-6,6,0.14053456973675496
-11,11,0.13950920354455282
20,20,0.14265131304156753
-4,4,0.1451049811159134
-16,16,0.13096125463538288
-32,32,0.1316070366008383
23,23,0.1317264874357544
1,1,0.13608060378719838
28,28,0.13047976223013807
-26,26,0.12920515170255897
4,4,0.1454999083553441
39,39,0.14303854485005443
10,10,0.14565494235437937
-15,15,0.14449537453834746
4,4,0.14254159500023567
7,7,0.09338732614160629
-50,50,0.09594083926820579
-4,4,0.07683476538057343
-37,37,0.06822837259330422
-30,30,0.06651254545071192
-23,23,0.07449449814149978
32,32,0.0754652732370758
-1,1,0.07844879814181398
-8,8,0.07718036071037868
18,18,0.08000164275556149
-7,7,0.079899202974162
1,1,0.08120136875923722
-2,2,0.08094042121324947
20,20,0.08137830827921748
0,0,0.11980707327945232
54,54,0.12681468650955882
32,32,0.1295557408963605
-10,10,0.07658973536200843
-56,56,0.07486546166153081
15,15,0.07322457598817221
7,7,0.07852816931186182
30,30,0.07939759619229193
23,23,0.09057097312770675
37,37,0.09328662146823215
-11,11,0.09615060811095014
27,27,0.09609433798283971
2,2,0.09642162394002468
1,1,0.09757320276303749
-17,17,0.09583115101657626
11,11,0.10222318101071025
32,32,0.10263980353650975
22,22,0.1011118869718219
9,9,0.10372308327960213
-10,10,0.10419692332298743
22,22,0.07034572568318916
-49,49,0.0711875897630629
0,0,0.06415519434244914
-30,30,0.06526611752698316
-1,1,0.07573081641805078
37,37,0.07970214485406692
29,29,0.07605542355630461
-26,26,0.07469885219076064
8,8,0.07460076703684101
-20,20,0.07456289982214039
2,2,0.07452791252470405
2,2,0.0779552148565253
28,28,0.08458698826421795
33,33,0.0834689542222625
7,7,0.05353812085220517
-49,49,0.035098011790741665
-42,42,0.03373250981731026
9,9,0.035121761003902116
-16,16,0.03516481091710908
-20,20,0.06265433590017885
53,53,0.07329867572264462
39,39,0.07189360145558994
13,13,0.07112921007394071
18,18,0.07214016134069692
24,24,0.07085333001523857
14,14,0.06952730438828117
-23,23,0.07810182623511613
37,37,0.06821132062259776
-35,35,0.07506909729790891
35,35,0.07622101336343606
-17,17,0.07748806349634182
-2,2,0.07827377729364698
-18,18,0.07774804806020896
4,4,0.07893302509383429
-2,2,0.09117172802350706
42,42,0.09306323268128867
-6,6,0.08599454783903755
-32,32,0.05580964508725615
-53,53,0.06600626069514444
40,40,0.06045626359807423
-31,31,0.04567591870642422
-42,42,0.04512080586816252
4,4,0.04660590962184642
-15,15,0.04818729875998667
-5,5,0.042989037057617585
-31,31,0.019238815828634143
-51,51,0.02058637839284442
-4,4,0.02234936919315273
-8,8,0.014192828051042636
-36,36,0.01328239143742322
17,17,0.028421477919581113
46,46,0.02717258105150483
14,14,0.02065163582715382
-34,34,0.02446465441974138
31,31,0.023142681201460662
12,12,-0.019078009112941087
-67,67,-0.017524759934392942
-14,14,-0.024441682636454118
-36,36,-0.024997204172299115
19,19,-0.012427588357994476
44,44,-0.008364333359392262
32,32,-0.008134189041718927
1,1,-0.030317635561099933
-54,54,-0.021419105698660207
40,40,-0.02836768197836996
-37,37,-0.028558352730199587
21,21,-0.027246596115644964
-16,16,-0.03600015662894877
-40,40,-0.029960275662762076
36,36,-0.03425933968363982
-33,33,-0.03846813048551952
-33,33,-0.039229887465957035
-25,25,-0.03884635021197724
-21,21,-0.044525072216394186
-36,36,-0.04294262313140835
-9,9,-0.04598392352744668
-31,31,-0.0471626044301806
15,15,-0.0475659891863734
-24,24,-0.048879750104716346
12,12,-0.04734408924522883
-12,12,-0.005771010279884081
72,72,-0.004338228229841061
-13,13,-0.005169506238128611
18,18,-0.0037027022977109652
-10,10,-0.0036309720796539407
-22,22,-0.0022445339365403496
-13,13,-0.001552574677009836
-19,19,-0.000198132183252596
-13,13,0.0007816685660796965
-17,17,0.002104478302736753
-13,13,0.002363610034357724
-1,1,0.0016043288412422453
4,4,0.002917604761693456
-10,10,0.03927044836352979
71,71,0.03999733898547347
-4,4,0.03873198023126523
11,11,0.05244941853349671
50,50,0.07855582420902871
65,65,0.07748476278482472
7,7,0.06405617536419345
-48,48,0.06330680682793097
4,4,0.06684518343970218
34,34,0.04808488642793137
-55,55,0.04447775153961521
-33,33,0.04568350564549191
-11,11,0.055970492787498695
47,47,0.05497298631698715
16,16,0.05513736597508823
-1,1,0.054317252298122225
5,5,0.05155609179217731
-31,31,0.04013884436945115
-47,47,0.04207088849614374
30,30,0.04913128882827766
42,42,0.04614705228506898
-32,32,0.04940386423879543
34,34,0.02912304674776195
-59,59,0.02931404010187817
-1,1,0.0317937351445599
32,32,0.03275872539426864
-16,16,0.03371357344742677
-16,16,0.01762870557795683
-55,55,0.018766149399570334
-11,11,-0.004986617335239229
-65,65,-0.005401847150637725
-25,25,-0.005594800424858702
-24,24,-0.015520597885594787
-48,48,0.05552600650629858
107,107,0.05537644084905496
23,23,0.05828426328906535
35,35,0.07066115775414672
55,55,0.07085607022173734
