Security,SPX Index,
Start Date,12/30/27 0:00,
End Date,4/4/24 0:00,
Period,D,
Currency,USD,
,,
Date,PX_LAST,PX_VOLUME
2023-08-02,4513.39,694274378
2023-08-01,4576.73,584666104
2023-07-31,4588.96,823449657
2023-07-28,4582.23,647234729
2023-07-27,4537.41,713687682
2023-07-26,4566.75,614526566
2023-07-25,4567.46,597126166
2023-07-24,4554.64,550797536
2023-07-21,4536.34,1153304016
2023-07-20,4534.87,689496830
2023-07-19,4565.72,681026287
2023-07-18,4554.98,655711511
2023-07-17,4522.79,581421430
2023-07-14,4505.42,597991644
2023-07-13,4510.04,581152125
2023-07-12,4472.16,644785305
2023-07-11,4439.26,570808301
2023-07-10,4409.53,617756573
2023-07-07,4398.95,639449189
2023-07-06,4411.59,624424831
2023-07-05,4446.82,596207157
2023-07-03,4455.59,336170315
2023-06-30,4450.38,772964875
2023-06-29,4396.44,556987636
2023-06-28,4376.86,596763176
2023-06-27,4378.41,610540624
2023-06-26,4328.82,615647686
2023-06-23,4348.33,1102248607
2023-06-22,4381.89,560134153
2023-06-21,4365.69,701610605
2023-06-20,4388.71,725393256
2023-06-16,4409.59,2045540605
2023-06-15,4425.84,748295367
2023-06-14,4372.59,727422361
2023-06-13,4369.01,658428877
2023-06-12,4338.93,661476814
2023-06-09,4298.86,578353328
2023-06-08,4293.93,592889909
2023-06-07,4267.52,742367269
2023-06-06,4283.85,581027111
2023-06-05,4273.79,597332929
2023-06-02,4282.37,705674299
2023-06-01,4221.02,720758201
2023-05-31,4179.83,1762055659
2023-05-30,4205.52,682208422
2023-05-26,4205.45,696802591
2023-05-25,4151.28,742956859
2023-05-24,4115.24,582283061
2023-05-23,4145.58,625447278
2023-05-22,4192.63,558748206
2023-05-19,4191.98,685778027
2023-05-18,4198.05,653367048
2023-05-17,4158.77,665798957
2023-05-16,4109.9,561421418
2023-05-15,4136.28,542788546
2023-05-12,4124.08,552093777
2023-05-11,4130.62,590608874
2023-05-10,4137.64,630971185
2023-05-09,4119.17,580390286
2023-05-08,4138.12,541650020
2023-05-05,4136.25,661637743
2023-05-04,4061.22,727002283
2023-05-03,4090.75,680765237
2023-05-02,4119.58,684397559
2023-05-01,4167.87,601566286
2023-04-28,4169.48,787608270
2023-04-27,4135.35,702603285
2023-04-26,4055.99,687858779
