returns,volatilities,L(t)
-33,33,-1.0
-15,15,-1.0
-12,12,-1.0
-58,58,-0.583349369816488
29,29,-0.5674830081212112
-26,26,-0.6384008605878212
9,9,-0.6234329330472389
-21,21,-0.4538466479726692
31,31,-0.4311351197246156
-19,19,-0.4176693284148033
-7,7,-0.5260483936845314
-49,49,-0.5589294623157183
10,10,-0.5469736279036791
-10,10,-0.5010325050199963
25,25,-0.48737236540817647
-9,9,-0.46305361923344546
23,23,-0.366379490446816
33,33,-0.3490912944790902
-12,12,-0.33610632576249505
-16,16,-0.42258284662546786
-48,48,-0.43793903245956656
8,8,-0.4281252118004187
-6,6,-0.4414067841332652
11,11,-0.43182922152490627
-7,7,-0.07123968866132512
64,64,-0.06534296209644103
-18,18,0.1946754307497956
73,73,0.14755729558963263
-41,41,0.1415029271915646
22,22,0.14853288100235804
30,30,0.14043085772089806
2,2,0.1461424427364669
29,29,0.13850566040491125
4,4,0.13485935756684259
0,0,0.13469035741321014
24,24,0.09154562138029676
-41,41,0.08445875776084495
6,6,0.07684297408867632
11,11,0.07089805743767993
16,16,0.07690311774324485
-12,12,0.07403402550706163
20,20,0.06699792287814435
-27,27,0.06040387288454896
12,12,0.0656887407348673
-9,9,0.07094288811329563
-12,12,0.06731369556068434
18,18,0.05065945825597283
-32,32,0.055467507826422506
-10,10,0.02653898245964031
-38,38,-0.09740713998121199
-68,68,-0.11091029731059199
-35,35,-0.15924993724777461
-53,53,-0.15762914781031437
-22,22,-0.15690324446093723
-3,3,-0.08597427885399338
54,54,-0.08914522698314141
19,19,-0.09217372606622844
19,19,-0.05345813601836541
46,46,-0.05024040869156476
27,27,-0.04995742592409816
-24,24,-0.047612193620583096
-5,5,-0.05053444139290043
19,19,-0.05422204550836694
17,17,-0.05012451503271734
-12,12,-0.0490389446390748
-22,22,-0.05255175029309396
17,17,-0.03211065321058723
39,39,-0.03046857092738062
-21,21,-0.026910747844563803
-9,9,-0.029860767029729052
18,18,-0.04692616984290874
-39,39,-0.0494021652794363
19,19,-0.04610564186917805
-8,8,-0.04057489357223434
29,29,-0.052729864476294075
-36,36,-0.05458678900833309
20,20,-0.055881635460388435
2,2,-0.022825082953939896
47,47,-0.019819454248690513
-7,7,-0.023532815105206484
11,11,-0.015543095845125856
32,32,-0.026239058782583227
-35,35,-0.028714240296684658
18,18,-0.025172894495077095
-12,12,-0.02865356520192975
12,12,-0.02086000191062703
32,32,-0.017671583695727206
-15,15,-0.022002710553332402
-29,29,-0.02093681469476024
-2,2,-0.023902834511377067
15,15,-0.012835928650303547
35,35,-0.015817409837994168
9,9,-0.01271256545245273
-14,14,-0.010626844759396892
-18,18,-0.007677063168214986
-14,14,0.010896528187219945
41,41,0.007829064912593355
12,12,-0.002693132069966734
-35,35,-0.005734502007813075
12,12,-0.008660694186412115
10,10,-0.006500312872583437
-5,5,-0.0036553536666583315
-9,9,-0.003185819151301771
23,23,-0.005925261765547622
10,10,-0.0030188680408090164
-11,11,-0.024986846276564913
-44,44,-0.02239682340082437
-8,8,-0.02928037782040731
-32,32,-0.02840926713396124
-2,2,-0.027204082179430163
-3,3,-0.027243937807303054
-22,22,-0.04599360147691111
-43,43,-0.08114169528074813
-55,55,-0.08205227966108732
2,2,-0.08044038127211435
-5,5,-0.11400668621551022
-56,56,-0.11622045640366636
7,7,-0.11453455639522493
-17,17,-0.11037000195866835
28,28,-0.04054528937552379
70,70,-0.03864148606846422
-8,8,-0.04008046452864128
18,18,-0.04246562282126512
11,11,-0.04363867084977186
3,3,-0.04524018926107606
-26,26,-0.1093803945650159
-76,76,-0.1175589608156923
-38,38,-0.11616089458253126
-18,18,-0.09442834613832173
47,47,-0.09272704011492602
-16,16,-0.08914070980184978
29,29,-0.08564519623751236
29,29,-0.08778458704015972
11,11,-0.08081380980952799
34,34,-0.07958388382459282
-4,4,-0.09959057255270694
-51,51,-0.10154368643407813
9,9,-0.10119578707724138
23,23,-0.10074465315504837
-22,22,-0.10113012310822903
21,21,-0.10305502778860572
10,10,-0.10494313542331035
10,10,-0.10991757584873489
-34,34,-0.10807807314291544
-14,14,-0.10618087050187738
-12,12,-0.06914359280025262
60,60,-0.08212932565074664
-45,45,-0.08239544109917987
1,1,-0.08293302030458671
-25,25,-0.08468515391725238
8,8,-0.08560283040688471
19,19,-0.08409153046797002
-16,16,-0.08996702404797585
-36,36,-0.08966119656667654
-1,1,-0.10905620520157738
-53,53,-0.10747562440787359
-9,9,-0.0928559349897908
44,44,-0.0437287640020503
71,71,-0.04540421196424442
8,8,-0.049206288739742136
-33,33,-0.044630576321972884
33,33,-0.04570950348947967
4,4,-0.042804710586649565
30,30,-0.04140787979094979
-16,16,-0.04009877534083763
-7,7,-0.04339974041674626
-32,32,-0.05050494702083366
-39,39,-0.06731063151291543
-52,52,-0.06589746742899696
-15,15,-0.05370347704165344
44,44,-0.05385860870163024
0,0,-0.05474096251398991
3,3,-0.05332845233751963
-10,10,-0.05482168851017492
15,15,-0.056293234624716436
15,15,-0.057378214256310345
-27,27,-0.05663732268024053
-4,4,-0.047114239789725613
41,41,-0.04854537358006409
-28,28,-0.047405748591515584
-7,7,-0.06007669698440203
-48,48,-0.05975592404420252
-22,22,-0.05992009776482721
22,22,-0.07362184539107396
-50,50,-0.07379488509004799
22,22,-0.0706168429274463
31,31,-0.06939223881108186
-16,16,-0.06998987351977182
2,2,-0.06583472293647644
33,33,-0.06483999660627565
-18,18,-0.06756696390873707
-32,32,-0.06840460679159081
19,19,-0.06992141931664447
13,13,-0.07140359766615194
9,9,-0.07089716756528142
-21,21,-0.06905726516726224
28,28,-0.07016674277765608
17,17,-0.06752146114528425
30,30,-0.06616735347556692
-13,13,-0.06758486141522271
9,9,-0.0854349838210547
-56,56,-0.08552847814942618
-24,24,-0.08434416395044535
-8,8,-0.09746954589966382
-51,51,-0.0963981206196739
-7,7,-0.09774841441474573
14,14,-0.09689477420963297
-5,5,-0.09825971533779267
9,9,-0.09965647070853403
11,11,-0.10098485264516895
9,9,-0.10918378279571934
-44,44,-0.0951691373733307
48,48,-0.09759029052809869
-32,32,-0.09766013670994328
22,22,-0.09858792017918014
5,5,-0.09848186891385012
-23,23,-0.0996397919144232
7,7,-0.09847796069674629
-9,9,-0.09962242304387975
7,7,-0.12017778199101628
-62,62,-0.13884430078175855
-61,61,-0.1382720294457324
-3,3,-0.13607472075954127
29,29,-0.1361053995313406
-24,24,-0.13886358363401813
-34,34,-0.1394744452923316
19,19,-0.14048745729093368
16,16,-0.13997194124309345
24,24,-0.14056474541747596
19,19,-0.1436594094812003
-35,35,-0.14396327470605363
2,2,-0.1432397036208663
-4,4,-0.1420933196284641
-12,12,-0.14304938491824362
16,16,-0.1448260775365288
-31,31,-0.14594242256349568
14,14,-0.14206743833609367
33,33,-0.1494292839744568
-45,45,-0.14961007113440183
21,21,-0.1516064978074835
-32,32,-0.16492232951478208
-56,56,-0.16395125782193914
-7,7,-0.16642893743684878
-34,34,-0.1785050894986393
-55,55,-0.17754159592580387
-16,16,-0.16477066686775252
48,48,-0.15514986718261795
44,44,-0.15544023392147768
