"DT","ts","rt","Rt","Rt_abs"
2008-01-02,20105,-1.25115340216859,-0.0145431165985078,0.0145431165985078
2008-01-03,20106,-0.0200211181871402,0,0
2008-01-04,20107,-2.12434481185321,-0.0248579500644866,0.0248579500644866
2008-01-07,20108,0.252398747872481,0.00321804076410252,0.00321804076410252
2008-01-08,20109,-1.58803894735067,-0.0185226773879385,0.0185226773879385
2008-01-09,20110,1.1255215877436,0.0135320642287469,0.0135320642287469
2008-01-10,20111,0.650162737593488,0.00791674630246481,0.00791674630246481
2008-01-11,20112,-1.17882334018667,-0.0136886962095155,0.0136886962095155
2008-01-14,20113,0.895256606420068,0.0108119905896157,0.0108119905896157
2008-01-15,20114,-2.15676009416436,-0.0252408652364453,0.0252408652364453
2008-01-16,20115,-0.496443864992642,-0.00562788552223375,0.00562788552223375
2008-01-17,20116,-2.5193623311039,-0.0295242121028255,0.0295242121028255
2008-01-18,20117,-0.533339408579147,-0.00606372511422998,0.00606372511422998
2008-01-22,20118,-0.96366731419633,-0.0111471016030205,0.0111471016030205
2008-01-23,20119,1.7759588403671,0.0212155479030807,0.0212155479030807
2008-01-24,20120,0.827573161169736,0.0100124597440099,0.0100124597440099
2008-01-25,20121,-1.37442234863722,-0.0159992677244216,0.0159992677244216
2008-01-28,20122,1.45325679838898,0.0174035339675131,0.0174035339675131
2008-01-29,20123,0.499197976229428,0.00613343011837187,0.00613343011837187
2008-01-30,20124,-0.424276419016422,-0.00477538608321774,0.00477538608321774
2008-01-31,20125,1.38804163419465,0.0166331604266603,0.0166331604266603
2008-02-01,20126,1.00964377707794,0.012163223094762,0.012163223094762
2008-02-04,20127,-0.91040457402667,-0.0105179196290589,0.0105179196290589
2008-02-05,20128,-2.77284260296436,-0.0325185232723501,0.0325185232723501
2008-02-06,20129,-0.667861013589608,-0.00765280161895677,0.00765280161895677
2008-02-07,20130,0.644917067446039,0.00785478026227216,0.00785478026227216
2008-02-08,20131,-0.376632998666545,-0.00421258399743439,0.00421258399743439
2008-02-11,20132,0.477045923614635,0.00587175240244734,0.00587175240244734
2008-02-12,20133,0.592843173381585,0.0072396418868341,0.0072396418868341
2008-02-13,20134,1.12385488018074,0.0135123757495009,0.0135123757495009
2008-02-14,20135,-1.16389711655503,-0.0135123757495009,0.0135123757495009
2008-02-15,20136,0.0514946404651562,0.000844801188502306,0.000844801188502306
2008-02-19,20137,-0.0965577959423027,-0.000904112290075009,0.000904112290075009
2008-02-20,20138,0.683138149154772,0.00830627816793472,0.00830627816793472
2008-02-21,20139,-1.11636299669372,-0.0129508648082764,0.0129508648082764
2008-02-22,20140,0.644491504814805,0.00784975317700559,0.00784975317700559
2008-02-25,20141,1.14127019889525,0.0137180993861569,0.0137180993861569
2008-02-26,20142,0.563591607546258,0.00689409905754826,0.00689409905754826
2008-02-27,20143,-0.0978903365693999,-0.000919853322914674,0.000919853322914674
2008-02-28,20144,-0.780392906983403,-0.00898211810912645,0.00898211810912645
2008-02-29,20145,-2.34490300827376,-0.0274633594173526,0.0274633594173526
2008-03-03,20146,0.0251366460503694,0.000533439533004661,0.000533439533004661
2008-03-04,20147,-0.312382943847213,-0.00345361109837576,0.00345361109837576
2008-03-05,20148,0.422269697087844,0.00522469192034451,0.00522469192034451
2008-03-06,20149,-1.90440697817644,-0.0222598689312063,0.0222598689312063
2008-03-07,20150,-0.735004211694998,-0.00844595063433755,0.00844595063433755
2008-03-10,20151,-1.33929248338463,-0.015584285733367,0.015584285733367
2008-03-11,20152,3.0662173202929,0.0364571102923722,0.0364571102923722
2008-03-12,20153,-0.784977484551543,-0.00903627479642632,0.00903627479642632
2008-03-13,20154,0.41288676100352,0.00511385319465585,0.00511385319465585
2008-03-14,20155,-1.79794885082572,-0.021002300610511,0.021002300610511
2008-03-17,20156,-0.781824022532064,-0.0089990235875717,0.0089990235875717
2008-03-18,20157,3.49607098279732,0.0415348846432165,0.0415348846432165
2008-03-19,20158,-2.10141101904368,-0.0245870378097967,0.0245870378097967
2008-03-20,20159,1.98308714185098,0.0236623126240814,0.0236623126240814
2008-03-24,20160,1.26716306240904,0.0152052463132767,0.0152052463132767
2008-03-25,20161,0.174789512487645,0.00230125856773887,0.00230125856773887
2008-03-26,20162,-0.765349721063157,-0.00880441599725943,0.00880441599725943
2008-03-27,20163,-0.99579862476004,-0.0115266622741774,0.0115266622741774
2008-03-28,20164,-0.695722852911062,-0.00798192789009182,0.00798192789009182
2008-03-31,20165,0.460064140409688,0.00567115003305659,0.00567115003305659
2008-04-01,20166,2.96547113782495,0.0352670160209852,0.0352670160209852
2008-04-02,20167,-0.183904831914009,-0.00193592515470274,0.00193592515470274
2008-04-03,20168,0.0900942371306072,0.00130077041477067,0.00130077041477067
2008-04-04,20169,0.0473384284532974,0.000795704696855523,0.000795704696855523
2008-04-07,20170,0.112070354826898,0.00156036984709659,0.00156036984709659
2008-04-08,20171,-0.452863803547646,-0.00511308307312969,0.00511308307312969
2008-04-09,20172,-0.707830670020956,-0.00812495508406088,0.00812495508406088
2008-04-10,20173,0.357876663548258,0.00446403004258976,0.00446403004258976
2008-04-11,20174,-1.76258279767086,-0.0205845285795504,0.0205845285795504
2008-04-14,20175,-0.306956981100385,-0.00338951529818191,0.00338951529818191
2008-04-15,20176,0.368476900866463,0.00458924850148027,0.00458924850148027
2008-04-16,20177,1.87942032324369,0.0224377174688585,0.0224377174688585
2008-04-17,20178,0.0326885851845029,0.000622649062152378,0.000622649062152378
2008-04-18,20179,1.50176301764352,0.0179765281222031,0.0179765281222031
