returns,volatilities,L(t)
-27,27,-0.9999999999999999
-22,22,-1.0
-31,31,0.9413494666865648
55,55,0.4154913691923428
-52,52,0.09166377565889955
-58,58,0.13626782820592293
45,45,-0.013833810462157446
8,8,-0.08317329082945119
6,6,-0.05129870931970211
38,38,-0.08639190837647015
9,9,-0.11303727778708032
22,22,-0.1288828531414229
-36,36,-0.10302554083402726
-14,14,-0.08222259509227381
-14,14,0.05975632109517293
53,53,0.03468544773436089
15,15,0.027240007199133227
-32,32,0.16879240358828732
60,60,0.1523009783693175
23,23,0.1352240255406285
10,10,0.1517123045148499
-15,15,0.1621841239118687
-22,22,0.15005410283829254
4,4,0.1789908629796347
41,41,0.18829951871361184
-21,21,0.19964026958309286
-14,14,0.18876059487346092
4,4,0.186953524266846
27,27,0.17746504053786988
6,6,0.1712321875614365
22,22,0.2092936354784946
45,45,0.2497821901866059
48,48,0.2500597154654343
-25,25,0.25886252855234476
-17,17,0.25818351456179395
28,28,0.2718929658372922
38,38,0.2681712026485644
2,2,0.2447100518430685
-35,35,0.2967900909814047
56,56,0.3040137228037853
-9,9,0.3028406618534127
-1,1,0.33959133983320267
53,53,0.33661357535385883
25,25,0.3318085358165453
6,6,0.3260992575640933
15,15,0.3266473586873824
-23,23,0.3209397221879647
12,12,0.32759156727503463
-11,11,0.32555301183319296
1,1,0.3580573235241724
53,53,0.35380552626528233
8,8,0.3500372298759705
19,19,0.3512281117409582
-21,21,0.3540676354273507
-19,19,0.3496542288645846
16,16,0.36986833231524846
47,47,0.3669145161849706
21,21,0.37037199086102435
-5,5,0.29906950921478925
-52,52,0.2950192988579392
15,15,0.30007546536513297
-9,9,0.29781515249126267
4,4,0.26855031193799456
-40,40,0.2722232113184041
-17,17,0.2731621309623301
-2,2,0.2731543481159548
26,26,0.2702850721691029
19,19,0.2124823648124743
-52,52,0.21094250976360562
3,3,0.207648283031012
16,16,0.21049781115836774
30,30,0.21097474159183585
-22,22,0.20794535834575892
17,17,0.21009022988141668
29,29,0.2137877754692509
-16,16,0.1776303699981766
-46,46,0.17439317694118575
15,15,0.1786443792120695
-13,13,0.17290185879449518
-29,29,0.16510498792186667
-31,31,0.17414453308379868
37,37,0.1733972875033237
24,24,0.17623852300067386
-18,18,0.0865256772777698
-69,69,0.08901171914568778
-4,4,0.09263543192931707
31,31,0.07887696648014987
-38,38,0.06316086406261966
-40,40,0.06502597908609059
-3,3,0.061925498968418195
13,13,0.06355802121429222
28,28,0.08924289953847232
